Timestamp,CWND,SSTHRESH,Event
1767350865289,26.24,2,CongestionAvoidance
1767350865306,26.28,2,CongestionAvoidance
1767350865324,26.32,2,CongestionAvoidance
1767350865341,26.36,2,CongestionAvoidance
1767350865357,26.39,2,CongestionAvoidance
1767350865374,26.43,2,CongestionAvoidance
1767350865389,26.47,2,CongestionAvoidance
1767350865407,26.51,2,CongestionAvoidance
1767350865422,26.55,2,CongestionAvoidance
1767350865446,26.58,2,CongestionAvoidance
1767350865457,26.62,2,CongestionAvoidance
1767350865512,16.00,13,RenoFastRetransmit
1767350865513,13.00,13,RenoExitFastRecovery
1767350865542,9.00,6,RenoFastRetransmit
1767350865544,6.00,6,RenoExitFastRecovery
1767350866144,1.00,3,Timeout
1767350866147,2.00,3,SlowStart
1767350866148,3.00,3,SlowStart
1767350866150,3.33,3,CongestionAvoidance
1767350866150,3.63,3,CongestionAvoidance
1767350866150,3.91,3,CongestionAvoidance
1767350866150,4.16,3,CongestionAvoidance
1767350866154,4.40,3,CongestionAvoidance
1767350866165,4.63,3,CongestionAvoidance
1767350866178,4.85,3,CongestionAvoidance
1767350866187,5.05,3,CongestionAvoidance
1767350866199,5.25,3,CongestionAvoidance
1767350866209,5.44,3,CongestionAvoidance
1767350866221,5.63,3,CongestionAvoidance
1767350866231,5.80,3,CongestionAvoidance
1767350866243,5.98,3,CongestionAvoidance
1767350866253,6.14,3,CongestionAvoidance
1767350866264,6.31,3,CongestionAvoidance
1767350866273,6.46,3,CongestionAvoidance
1767350866283,6.62,3,CongestionAvoidance
1767350866296,6.77,3,CongestionAvoidance
1767350866308,6.92,3,CongestionAvoidance
1767350866321,7.06,3,CongestionAvoidance
1767350866330,7.20,3,CongestionAvoidance
1767350866341,7.34,3,CongestionAvoidance
1767350866352,7.48,3,CongestionAvoidance
1767350866362,7.61,3,CongestionAvoidance
1767350866374,7.74,3,CongestionAvoidance
1767350866384,7.87,3,CongestionAvoidance
1767350866395,8.00,3,CongestionAvoidance
1767350866405,8.13,3,CongestionAvoidance
1767350866416,8.25,3,CongestionAvoidance
1767350866427,8.37,3,CongestionAvoidance
1767350866439,8.49,3,CongestionAvoidance
1767350866448,8.61,3,CongestionAvoidance
1767350866458,8.72,3,CongestionAvoidance
1767350866469,8.84,3,CongestionAvoidance
1767350866480,8.95,3,CongestionAvoidance
1767350866493,9.06,3,CongestionAvoidance
1767350866502,9.17,3,CongestionAvoidance
1767350866512,9.28,3,CongestionAvoidance
1767350866522,9.39,3,CongestionAvoidance
1767350866535,9.50,3,CongestionAvoidance
1767350866545,9.60,3,CongestionAvoidance
1767350866557,9.71,3,CongestionAvoidance
1767350866566,9.81,3,CongestionAvoidance
1767350866577,9.91,3,CongestionAvoidance
1767350866588,10.01,3,CongestionAvoidance
1767350866597,10.11,3,CongestionAvoidance
1767350866608,10.21,3,CongestionAvoidance
1767350866622,10.31,3,CongestionAvoidance
1767350866632,10.41,3,CongestionAvoidance
1767350866644,10.50,3,CongestionAvoidance
1767350866654,10.60,3,CongestionAvoidance
1767350866663,10.69,3,CongestionAvoidance
1767350866675,10.78,3,CongestionAvoidance
1767350866683,10.88,3,CongestionAvoidance
1767350866696,10.97,3,CongestionAvoidance
1767350866707,11.06,3,CongestionAvoidance
1767350866715,11.15,3,CongestionAvoidance
1767350866726,11.24,3,CongestionAvoidance
1767350866738,11.33,3,CongestionAvoidance
1767350866749,11.42,3,CongestionAvoidance
1767350866760,11.51,3,CongestionAvoidance
1767350866770,11.59,3,CongestionAvoidance
1767350866780,11.68,3,CongestionAvoidance
1767350866789,11.76,3,CongestionAvoidance
1767350866800,11.85,3,CongestionAvoidance
1767350866811,11.93,3,CongestionAvoidance
1767350866821,12.02,3,CongestionAvoidance
1767350866832,12.10,3,CongestionAvoidance
1767350866844,12.18,3,CongestionAvoidance
1767350866854,12.27,3,CongestionAvoidance
1767350866865,12.35,3,CongestionAvoidance
1767350866874,12.43,3,CongestionAvoidance
1767350866886,12.51,3,CongestionAvoidance
1767350866897,12.59,3,CongestionAvoidance
1767350866909,12.67,3,CongestionAvoidance
1767350866919,12.75,3,CongestionAvoidance
1767350866931,12.82,3,CongestionAvoidance
1767350866942,12.90,3,CongestionAvoidance
1767350866953,12.98,3,CongestionAvoidance
1767350866996,9.00,6,RenoFastRetransmit
1767350866997,6.00,6,RenoExitFastRecovery
1767350867028,6.00,3,RenoFastRetransmit
1767350867029,3.00,3,RenoExitFastRecovery
1767350867630,1.00,2,Timeout
1767350867631,2.00,2,SlowStart
1767350867631,2.50,2,CongestionAvoidance
1767350867632,2.90,2,CongestionAvoidance
1767350867632,3.24,2,CongestionAvoidance
1767350867633,3.55,2,CongestionAvoidance
1767350867636,3.83,2,CongestionAvoidance
1767350867648,4.10,2,CongestionAvoidance
1767350867658,4.34,2,CongestionAvoidance
1767350867668,4.57,2,CongestionAvoidance
1767350867680,4.79,2,CongestionAvoidance
1767350867692,5.00,2,CongestionAvoidance
1767350867700,5.20,2,CongestionAvoidance
1767350867713,5.39,2,CongestionAvoidance
1767350867724,5.58,2,CongestionAvoidance
1767350867732,5.75,2,CongestionAvoidance
1767350867747,5.93,2,CongestionAvoidance
1767350867756,6.10,2,CongestionAvoidance
1767350867767,6.26,2,CongestionAvoidance
1767350867776,6.42,2,CongestionAvoidance
1767350867787,6.58,2,CongestionAvoidance
1767350867797,6.73,2,CongestionAvoidance
1767350867840,6.00,3,RenoFastRetransmit
1767350867840,3.00,3,RenoExitFastRecovery
1767350868441,1.00,2,Timeout
1767350868444,2.00,2,SlowStart
1767350868446,2.50,2,CongestionAvoidance
1767350868447,2.90,2,CongestionAvoidance
1767350868458,3.24,2,CongestionAvoidance
